title,release_year,release_month,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genre_count,production_company_count,language_count,is_english,has_tagline,log_budget,log_revenue,log_popularity,log_vote_count
Get Shorty,1995.0,10.0,30250000.0,115101622.0,105.0,12.669608,6.4,305.0,en,3,2,1,1,1,17.225006775498976,18.561325974374626,2.6151749743919965,5.723585101952381
Copycat,1995.0,10.0,0.0,0.0,124.0,10.701801,6.5,199.0,en,2,2,2,1,1,0.0,0.0,2.4597427615813854,5.298317366548036
Assassins,1995.0,10.0,50000000.0,30303072.0,132.0,11.065939,6.0,394.0,en,4,6,3,1,1,17.72753358339242,17.22675968447894,2.490386524477861,5.978885764901122
Powder,1995.0,10.0,0.0,0.0,111.0,12.133094,6.3,143.0,en,4,2,1,1,1,0.0,0.0,2.5751353041194776,4.969813299576001
Leaving Las Vegas,1995.0,10.0,3600000.0,49800000.0,112.0,10.332025,7.1,365.0,en,2,2,1,1,1,15.096444681204078,17.723525562075203,2.4276327881077355,5.902633333401366
Othello,1995.0,12.0,0.0,0.0,123.0,1.845899,7.0,33.0,en,1,2,1,1,1,0.0,0.0,1.0458790106331537,3.5263605246161616
Now and Then,1995.0,10.0,12000000.0,27400000.0,100.0,8.681325,6.6,91.0,en,3,1,1,1,1,16.300417291085605,17.126053607854647,2.2701987720865398,4.5217885770490405
Persuasion,1995.0,9.0,0.0,0.0,104.0,2.228434,7.4,36.0,en,2,1,1,1,0,0.0,0.0,1.1719971899452717,3.6109179126442243
The City of Lost Children,1995.0,5.0,18000000.0,1738611.0,108.0,9.822423,7.6,308.0,fr,3,21,2,0,1,16.705882371415992,14.368597651708424,2.3816201855015735,5.733341276897746
Dangerous Minds,1995.0,8.0,0.0,180000000.0,99.0,9.481338,6.4,249.0,en,2,3,1,1,1,0.0,19.00846741441004,2.349596342499276,5.521460917862246
Twelve Monkeys,1995.0,12.0,29500000.0,168840000.0,129.0,12.297305,7.4,2470.0,en,3,3,2,1,1,17.19990085520835,18.94446208480134,2.5875613831162085,7.81237820598861
Babe,1995.0,7.0,30000000.0,254134910.0,89.0,14.404764,6.0,756.0,en,4,2,1,1,1,17.216707972959764,19.35337582964417,2.7346768122298877,6.6293632534374485
Dead Man Walking,1995.0,12.0,11000000.0,39363635.0,122.0,6.891317,7.3,350.0,en,1,3,1,1,0,16.213405921671733,17.488353003930516,2.0657630410802557,5.860786223465865
It Takes Two,1995.0,11.0,0.0,0.0,101.0,7.777735,6.1,149.0,en,3,4,1,1,1,0.0,0.0,2.1722184017012056,5.0106352940962555
Clueless,1995.0,7.0,12000000.0,0.0,97.0,9.882383,6.9,828.0,en,3,1,2,1,1,16.300417291085605,0.0,2.387145243180456,6.720220155135295
Richard III,1995.0,12.0,0.0,0.0,104.0,4.561387,6.9,50.0,en,2,2,1,1,1,0.0,0.0,1.7158475375840658,3.9318256327243257
Dead Presidents,1995.0,10.0,10000000.0,0.0,119.0,9.87957,6.6,80.0,en,4,3,1,1,1,16.118095750958314,0.0,2.386886718587956,4.394449154672439
Restoration,1995.0,12.0,19000000.0,0.0,117.0,10.979269,6.3,30.0,en,2,1,2,1,0,16.759949589762293,0.0,2.4831775724616674,3.4339872044851463
Mortal Kombat,1995.0,8.0,18000000.0,122195920.0,101.0,10.870138,5.4,452.0,en,2,2,1,1,1,16.705882371415992,18.621136224439255,2.4740258345017634,6.115892125483034
To Die For,1995.0,5.0,20000000.0,21284514.0,106.0,10.448481,6.7,177.0,en,4,2,1,1,1,16.811242881518265,16.873490370985255,2.437857057444176,5.181783550292085
How To Make An American Quilt,1995.0,10.0,10000000.0,23574130.0,116.0,4.485958,6.5,38.0,en,2,2,1,1,1,16.118095750958314,16.975660524722755,1.7021917366348476,3.6635616461296463
Se7en,1995.0,9.0,33000000.0,327311859.0,127.0,18.45743,8.1,5915.0,en,3,3,1,1,1,17.312018149733785,19.606423974684137,2.968229002260456,8.68541582383069
Pocahontas,1995.0,6.0,55000000.0,346079773.0,81.0,13.280069,6.7,1509.0,en,4,2,1,1,1,17.822843761378564,19.66217986714061,2.6588647888325374,7.31986492980897
The Usual Suspects,1995.0,7.0,6000000.0,23341568.0,106.0,16.302466,8.1,3334.0,en,3,2,4,1,1,15.607270193858982,16.96574640621366,2.8508490346979958,8.112227958349724
Mighty Aphrodite,1995.0,9.0,15000000.0,6700000.0,95.0,15.899134,6.7,145.0,en,2,2,1,1,0,16.52356082573315,15.717618233614914,2.8272623780125303,4.983606621708336
The Big Green,1995.0,9.0,0.0,0.0,100.0,5.982764,5.2,41.0,en,4,2,2,1,1,0.0,0.0,1.9434448269301936,3.7376696182833684
Home for the Holidays,1995.0,11.0,0.0,17519169.0,103.0,8.416802,6.3,39.0,en,3,3,2,1,1,0.0,16.678806267921093,2.2424955405024845,3.6888794541139363
The Postman,1994.0,9.0,0.0,0.0,108.0,10.168437,7.6,181.0,it,3,0,2,0,0,0.0,0.0,2.413091674910632,5.204006687076795
The Indian in the Cupboard,1995.0,7.0,45000000.0,0.0,96.0,10.673296,5.9,136.0,en,3,3,1,1,0,17.622173069956816,0.0,2.457303840012009,4.919980925828125
Eye for an Eye,1996.0,1.0,20000000.0,0.0,101.0,4.733526,5.8,65.0,en,2,1,4,1,1,16.811242881518265,0.0,1.746330699237837,4.189654742026425
Mr. Holland's Opus,1995.0,12.0,0.0,106269971.0,137.0,7.137117,6.9,115.0,en,3,4,1,1,1,0.0,18.481493319869028,2.096435940374819,4.7535901911063645
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,1.0,0.0,0.0,89.0,11.700115,6.2,192.0,en,1,3,2,1,1,0.0,0.0,2.5416110485416583,5.262690188904886
Bio-Dome,1996.0,1.0,15000000.0,0.0,88.0,6.387469,4.4,110.0,en,1,4,2,1,1,16.52356082573315,0.0,1.9997851864459164,4.709530201312334
Lawnmower Man 2: Beyond Cyberspace,1996.0,1.0,0.0,2409225.0,92.0,2.49535,2.8,32.0,en,2,1,2,1,1,0.0,14.694816092057607,1.2514335137333084,3.4965075614664802
French Twist,1995.0,2.0,0.0,0.0,95.0,2.518051,6.0,43.0,fr,2,4,2,0,0,0.0,0.0,1.2579071430835111,3.784189633918261
Friday,1995.0,4.0,3500000.0,28215918.0,91.0,14.56965,7.0,513.0,en,1,1,1,1,1,15.068273812173887,17.155396880182252,2.7453235064667223,6.2422232654551655
From Dusk Till Dawn,1996.0,1.0,19000000.0,25836616.0,108.0,15.339153,6.9,1644.0,en,4,4,2,1,1,16.759949589762293,17.067303307255134,2.7935642521030135,7.405495663199472
Fair Game,1995.0,11.0,50000000.0,11534477.0,91.0,5.912223,4.1,54.0,en,3,2,2,1,1,17.72753358339242,16.260851194989943,1.9332912937128053,4.007333185232471
Kicking and Screaming,1995.0,10.0,0.0,718490.0,96.0,3.367276,7.0,36.0,en,3,2,1,1,1,0.0,13.48490845832673,1.474139473788652,3.6109179126442243
Bed of Roses,1996.0,1.0,0.0,19030691.0,87.0,10.412194,5.1,27.0,en,2,2,1,1,1,0.0,16.761563602247556,2.4346824328562526,3.332204510175204
Screamers,1995.0,9.0,20000000.0,5781885.0,108.0,12.758848,6.1,154.0,en,2,6,1,1,1,16.811242881518265,15.570240485002937,2.621682108070172,5.043425116919247
The Crossing Guard,1995.0,11.0,0.0,0.0,111.0,5.756462,6.1,74.0,en,2,1,1,1,1,0.0,0.0,1.9104993802664676,4.31748811353631
The Juror,1996.0,2.0,44000000.0,0.0,118.0,6.010579,5.5,91.0,en,2,1,1,1,1,17.599700214609808,0.0,1.9474202939266256,4.5217885770490405
Things to Do in Denver When You're Dead,1995.0,12.0,8000000.0,529766.0,116.0,4.486179,6.7,87.0,en,2,1,1,1,1,15.894952224644102,13.18019256622443,1.7022320204920451,4.477336814478207
Antonia's Line,1995.0,9.0,900000.0,0.0,102.0,2.030174,7.2,26.0,nl,2,3,1,0,1,13.710151153416941,0.0,1.1086200436150573,3.295836866004329
White Squall,1996.0,2.0,38000000.0,10300000.0,129.0,9.568604,6.3,86.0,en,2,3,4,1,0,17.453096744006448,16.14765455028724,2.3578877192582763,4.465908118654584
Dunston Checks In,1996.0,1.0,16000000.0,0.0,88.0,4.814825,5.1,59.0,en,3,2,3,1,1,16.588099342704055,0.0,1.7604106909348016,4.0943445622221
Black Sheep,1996.0,2.0,0.0,32.0,87.0,8.963037,6.0,124.0,en,1,1,1,1,1,0.0,3.4965075614664802,2.298881944796664,4.8283137373023015
Nick of Time,1995.0,11.0,8169363.0,8175346.0,90.0,6.848591,6.1,190.0,en,3,1,1,1,0,15.915901618028812,15.916633720329946,2.0603340252381193,5.25227342804663
Mary Reilly,1996.0,2.0,47000000.0,12379402.0,104.0,12.866139,5.7,77.0,en,4,2,1,1,1,17.665658180950928,16.331544601117734,2.629449824990463,4.356708826689592
Vampire in Brooklyn,1995.0,10.0,14000000.0,19800000.0,100.0,9.071127,4.5,113.0,en,3,1,1,1,1,16.454567959008102,16.801192546169812,2.3096726170521897,4.736198448394496
Beautiful Girls,1996.0,2.0,0.0,0.0,112.0,4.670562,6.6,103.0,en,3,2,1,1,1,0.0,0.0,1.7352882309935649,4.6443908991413725
Broken Arrow,1996.0,2.0,50000000.0,150270147.0,108.0,14.957626,5.7,459.0,en,4,3,1,1,1,17.72753358339242,18.82794521889528,2.7699368340905823,6.131226489483141
La Haine,1995.0,5.0,3000000.0,0.0,98.0,12.108196,7.9,695.0,fr,1,8,1,0,1,14.914123179965662,0.0,2.5732376834254183,6.54534966033442
City Hall,1996.0,2.0,0.0,0.0,111.0,4.807223,6.0,67.0,en,2,2,1,1,1,0.0,0.0,1.7591024875812842,4.219507705176107
Bottle Rocket,1996.0,2.0,7000000.0,560069.0,91.0,6.904831,6.8,285.0,en,3,2,2,1,1,15.76142084987672,13.235817054899483,2.0674740915587737,5.655991810819852
Happy Gilmore,1996.0,2.0,12000000.0,41205099.0,92.0,9.592265,6.5,767.0,en,1,3,1,1,1,16.300417291085605,17.534072593066618,2.3601240177638605,6.643789733147672
The Bridges of Madison County,1995.0,5.0,24000000.0,182016617.0,135.0,5.951077,7.3,397.0,en,2,3,1,1,1,16.993564429978885,19.019608548565085,1.9388966115997928,5.986452005284438
Muppet Treasure Island,1996.0,2.0,0.0,34327391.0,100.0,6.902423,6.5,93.0,en,5,3,1,1,1,0.0,17.351454194007484,2.0671694213081877,4.543294782270004
Braveheart,1995.0,5.0,72000000.0,210000000.0,177.0,20.755149,7.7,3404.0,en,4,3,4,1,1,18.09217669086922,19.162618093443648,3.079850465149419,8.133000218583613
Taxi Driver,1976.0,2.0,1300000.0,28262574.0,114.0,14.092713,8.1,2632.0,en,2,3,2,1,1,14.077875591662238,17.157049049257896,2.7142120445588755,7.87587915949631
Rumble in the Bronx,1995.0,1.0,7500000.0,32392047.0,91.0,12.314278,6.5,245.0,cn,4,2,2,0,1,15.830413711839864,17.293423518540404,2.5888369932369226,5.5053315359323625
Before and After,1996.0,2.0,35000000.0,0.0,108.0,2.938293,5.8,37.0,en,2,2,3,1,1,17.370858648025116,0.0,1.37074738069953,3.6375861597263857
Boomerang,1992.0,6.0,40000000.0,70100000.0,117.0,6.506983,5.4,139.0,en,2,1,2,1,1,17.50439003707821,18.065433366270153,2.0158336540352173,4.941642422609304
Chungking Express,1994.0,7.0,0.0,0.0,102.0,6.778979,7.9,249.0,cn,3,2,4,0,1,0.0,0.0,2.0514250956452122,5.521460917862246
The Star Maker,1995.0,9.0,0.0,0.0,113.0,1.702639,6.8,29.0,it,2,1,1,0,1,0.0,0.0,0.9942287030660901,3.4011973816621555
Flirting with Disaster,1996.0,3.0,7000000.0,14702438.0,92.0,5.579088,6.3,66.0,en,2,1,1,1,1,15.76142084987672,16.50352395635338,1.8838961339073972,4.204692619390966
The Neverending Story III: Escape from Fantasia,1994.0,10.0,17000000.0,0.0,95.0,6.252377,4.4,105.0,en,1,5,1,1,1,16.648723960844016,0.0,1.9813292772005255,4.663439094112067
Jade,1995.0,10.0,50000000.0,9851610.0,95.0,11.418917,5.1,45.0,en,4,1,1,1,1,17.72753358339242,16.10314555307438,2.519220874635727,3.828641396489095
Down Periscope,1996.0,3.0,0.0,0.0,92.0,5.184977,5.6,110.0,en,1,1,1,1,1,0.0,0.0,1.822123287163325,4.709530201312334
Up Close & Personal,1996.0,3.0,60000000.0,0.0,119.0,3.402749,5.9,51.0,en,2,2,1,1,1,17.909855136853043,0.0,1.4822291185622611,3.9512437185814275
The Birdcage,1996.0,3.0,31000000.0,185260553.0,117.0,6.49968,6.7,303.0,en,1,1,2,1,1,17.249497794707484,19.037273792177565,2.01486035296535,5.717027701406222
Bad Boys,1995.0,4.0,19000000.0,141407024.0,118.0,9.262184,6.5,1729.0,en,4,2,1,1,1,16.759949589762293,18.76715299194654,2.328465682587054,7.455876687491824
The Amazing Panda Adventure,1995.0,8.0,0.0,0.0,81.0,2.375865,5.0,31.0,en,4,1,1,1,1,0.0,0.0,1.2166515877825046,3.4657359027997265
The Basketball Diaries,1995.0,4.0,0.0,0.0,102.0,7.415144,7.2,472.0,en,2,2,1,1,1,0.0,0.0,2.1300329397958206,6.159095388491933
Apollo 13,1995.0,6.0,52000000.0,355237933.0,140.0,18.761467,7.3,1637.0,en,1,2,1,1,1,17.76675429577647,19.688298359551155,2.9837339304546915,7.401231264413015
Rob Roy,1995.0,4.0,28000000.0,31596911.0,139.0,10.193549,6.5,151.0,en,1,2,1,1,1,17.147715103853763,17.268569952263096,2.415337630216755,5.0238805208462765
The Addiction,1995.0,1.0,0.0,0.0,82.0,3.137285,6.4,46.0,en,2,3,1,1,1,0.0,0.0,1.4200397756067955,3.8501476017100584
Batman Forever,1995.0,6.0,100000000.0,336529144.0,121.0,13.321354,5.2,1529.0,en,3,2,1,1,1,18.420680753952364,19.63419531548269,2.661751710135265,7.333023014386481
Belle de Jour,1967.0,5.0,0.0,0.0,101.0,10.142662,7.3,163.0,fr,2,3,3,0,1,0.0,0.0,2.4107811646604143,5.099866427824199
Blue in the Face,1995.0,9.0,2000000.0,1275000.0,83.0,11.528147,6.8,28.0,en,1,2,1,1,1,14.508658238524095,14.058457520888082,2.527977872896083,3.367295829986474
Canadian Bacon,1995.0,6.0,11000000.0,178104.0,91.0,5.391556,5.9,57.0,en,2,1,1,1,1,16.213405921671733,12.090128542999349,1.8549777442241049,4.060443010546419
Casper,1995.0,5.0,50000000.0,287928194.0,100.0,12.812539,6.0,1045.0,en,3,3,1,1,1,17.72753358339242,19.478221684097427,2.6255768028033972,6.952728644624869
Clockers,1995.0,9.0,25000000.0,13071518.0,128.0,4.558992,6.8,69.0,en,3,2,1,1,1,17.034386422832473,16.385946299199293,1.7154167968625438,4.248495242049359
Congo,1995.0,6.0,50000000.0,152022101.0,109.0,7.260574,5.0,214.0,en,6,2,2,1,1,17.72753358339242,18.839536476134583,2.1114940766438863,5.3706380281276624
Crimson Tide,1995.0,5.0,53000000.0,157387195.0,116.0,8.657365,7.0,508.0,en,3,2,1,1,1,17.78580249038432,18.874219543751828,2.267720836687621,6.2324480165505225
Crumb,1994.0,9.0,0.0,3174695.0,119.0,3.620388,7.6,71.0,en,1,1,1,1,1,0.0,14.970722437693297,1.530478684251282,4.276666119016055
Desperado,1995.0,8.0,7000000.0,25405445.0,104.0,6.950458,6.8,898.0,en,3,2,1,1,1,15.76142084987672,17.050474118455163,2.0732295370697376,6.80128303447162
Devil in a Blue Dress,1995.0,9.0,27000000.0,16140822.0,102.0,4.646132,6.3,88.0,en,3,2,1,1,1,17.11134746100564,16.59686221083196,1.7309707089416384,4.48863636973214
Die Hard: With a Vengeance,1995.0,5.0,90000000.0,366101666.0,128.0,15.138855,6.9,2094.0,en,2,2,3,1,1,18.31532023940565,19.71842163148081,2.7812297185657138,7.647308832356238
The Doom Generation,1995.0,10.0,0.0,0.0,80.0,7.120806,5.6,57.0,en,4,4,1,1,1,0.0,0.0,2.094429410331275,4.060443010546419
First Knight,1995.0,7.0,55000000.0,127600435.0,134.0,15.178338,5.9,319.0,en,4,2,2,1,1,17.822843761378564,18.664414345797027,2.783673186947671,5.768320995793772
Free Willy 2 - The Adventure Home,1995.0,7.0,0.0,0.0,95.0,7.575098,5.5,130.0,en,1,5,3,1,1,0.0,0.0,2.1488624215581265,4.875197323201151
Hackers,1995.0,9.0,20000000.0,7563728.0,107.0,14.810519,6.2,406.0,en,4,2,4,1,1,16.811242881518265,15.838874880514219,2.760675478007054,6.008813185442595
Johnny Mnemonic,1995.0,5.0,25000000.0,19075720.0,97.0,11.715868,5.5,380.0,en,5,2,2,1,1,17.034386422832473,16.7639269325856,2.54285066237184,5.942799375126701
Judge Dredd,1995.0,6.0,90000000.0,113493481.0,96.0,8.184815,5.4,643.0,en,1,2,1,1,1,18.31532023940565,18.547255965923945,2.217551576929134,6.467698726104354
Jury Duty,1995.0,4.0,0.0,17014653.0,88.0,3.676921,4.0,34.0,en,2,1,1,1,1,0.0,16.649585530711853,1.5426399874315386,3.5553480614894135
Kids,1995.0,7.0,1500000.0,7412216.0,91.0,4.877872,6.8,280.0,en,2,1,1,1,0,14.220976332738882,15.818640142807183,1.771194791645298,5.638354669333745
Living in Oblivion,1995.0,1.0,500000.0,1148752.0,89.0,10.058329,7.2,64.0,en,2,2,1,1,1,13.122365377402328,13.9541875641829,2.4031838996887434,4.174387269895637
Lord of Illusions,1995.0,8.0,0.0,0.0,119.0,4.102409,5.9,87.0,en,3,2,1,1,1,0.0,0.0,1.6297127811479235,4.477336814478207
Mad Love,1995.0,5.0,0.0,15453274.0,95.0,2.624771,5.5,27.0,en,3,1,1,1,1,0.0,16.553331512954724,1.287791113897384,3.332204510175204
Mallrats,1995.0,10.0,6000000.0,2122561.0,94.0,8.25547,6.8,400.0,en,2,4,1,1,1,15.607270193858982,14.56813440757729,2.2252147280963754,5.993961427306569
Mighty Morphin Power Rangers: The Movie,1995.0,6.0,15000000.0,66000000.0,92.0,7.024227,5.2,153.0,en,5,3,1,1,1,16.52356082573315,18.005165315142214,2.0824653403890876,5.0369526024136295
Mute Witness,1995.0,9.0,2.0,1.0,95.0,2.466066,6.4,36.0,en,2,3,2,1,1,1.0986122886681096,0.6931471805599453,1.2430202332356006,3.6109179126442243
The Net,1995.0,7.0,22000000.0,110627965.0,114.0,13.304342,5.6,359.0,en,5,1,2,1,1,16.906553056777135,18.521683472232386,2.6605631275413066,5.886104031450156
Nine Months,1995.0,7.0,0.0,69660733.0,103.0,8.482834,5.5,171.0,en,1,2,2,1,1,0.0,18.0591473597401,2.2494832167394128,5.147494476813453
The Prophecy,1995.0,9.0,8.0,16.0,98.0,10.187623,6.4,139.0,en,3,1,1,1,1,2.1972245773362196,2.833213344056216,2.4148080779539436,4.941642422609304
Safe,1995.0,6.0,0.0,0.0,119.0,8.180047,7.2,62.0,en,1,4,1,1,1,0.0,0.0,2.2170323244450008,4.143134726391533
The Scarlet Letter,1995.0,10.0,50000000.0,10382407.0,135.0,6.752119,5.5,111.0,en,3,2,1,1,1,17.72753358339242,16.155623393383497,2.047966225347835,4.718498871295094
Showgirls,1995.0,9.0,45000000.0,20350754.0,128.0,17.502375,4.9,261.0,en,1,3,1,1,1,17.622173069956816,16.828628569901763,2.917899102222859,5.568344503761097
Smoke,1995.0,6.0,7000000.0,8349430.0,112.0,5.552946,7.2,115.0,en,2,1,1,1,1,15.76142084987672,15.937703950792574,1.8799147195228727,4.7535901911063645
Something to Talk About,1995.0,8.0,0.0,50892160.0,106.0,3.743212,5.7,60.0,en,1,3,1,1,1,0.0,17.745219461801778,1.5567145433454155,4.110873864173311
Species,1995.0,7.0,35000000.0,113374103.0,108.0,13.492845,5.5,457.0,en,3,1,1,1,1,17.370858648025116,18.5462035633915,2.6736550793650014,6.126869184114185
Strange Days,1995.0,10.0,42000000.0,7959291.0,145.0,11.223055,6.8,334.0,en,4,1,1,1,1,17.553180200057167,15.889850609141131,2.5033239224986565,5.814130531825066
The Umbrellas of Cherbourg,1964.0,2.0,0.0,0.0,91.0,8.133881,7.6,119.0,fr,2,3,1,0,1,0.0,0.0,2.2119906864318257,4.787491742782046
Total Eclipse,1995.0,11.0,0.0,339889.0,111.0,4.546552,6.5,112.0,en,2,3,1,1,1,0.0,12.736377314833648,1.7131764734343387,4.727387818712341
"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,9.0,0.0,47774193.0,105.0,7.653446,6.3,117.0,en,1,2,2,1,1,0.0,17.6819961772,2.157957623113836,4.770684624465665
Under Siege 2: Dark Territory,1995.0,7.0,60000000.0,104324083.0,100.0,7.490247,5.6,217.0,en,2,5,1,1,1,17.909855136853043,18.46301280414933,2.1389180929507092,5.384495062789089
A Walk in the Clouds,1995.0,8.0,20000000.0,50012507.0,103.0,9.715639,6.5,168.0,en,2,2,1,1,1,16.811242881518265,17.727783692107625,2.3717042631716483,5.1298987149230735
Waterworld,1995.0,7.0,175000000.0,264218220.0,135.0,16.885184,5.9,1017.0,en,2,4,3,1,1,18.980296537602072,19.392285914366305,2.8839726606088574,6.925595197110468
White Man's Burden,1995.0,12.0,8000000.0,0.0,89.0,1.834099,5.1,25.0,en,1,3,1,1,1,15.894952224644102,0.0,1.0417240736152984,3.258096538021482
Wild Bill,1995.0,12.0,30000000.0,0.0,98.0,8.922139,5.9,27.0,en,2,1,2,1,1,17.216707972959764,0.0,2.2947685230530523,3.332204510175204
Bushwhacked,1995.0,8.0,0.0,0.0,90.0,3.287036,4.9,29.0,en,5,1,2,1,1,0.0,0.0,1.4555955850613371,3.4011973816621555
Burnt by the Sun,1994.0,5.0,2800000.0,2616503.0,135.0,2.486073,6.7,35.0,ru,1,3,1,0,1,14.845130332288226,14.777349633553024,1.2487758877850546,3.58351893845611
Before the Rain,1994.0,6.0,0.0,763847.0,113.0,3.525649,7.7,45.0,en,2,2,3,1,1,0.0,13.546124095475326,1.5097609922818127,3.828641396489095
Before Sunrise,1995.0,1.0,2500000.0,5535405.0,105.0,11.304979,7.7,984.0,en,2,2,3,1,1,14.731801689838349,15.526675472834972,2.510003977218239,6.892641641172089
Billy Madison,1995.0,2.0,10000000.0,26488734.0,89.0,6.638116,6.2,464.0,en,1,1,3,1,1,16.118095750958314,17.092230106238617,2.0331509759097854,6.142037405587356
The Babysitter,1995.0,10.0,0.0,0.0,90.0,2.761837,4.7,27.0,en,2,1,1,1,1,0.0,0.0,1.3249074019231408,3.332204510175204
Boys on the Side,1995.0,2.0,21000000.0,23450000.0,115.0,3.030309,6.3,48.0,en,2,5,1,1,1,16.860033043306743,16.970381095500485,1.393843047957184,3.8918202981106265
The Cure,1995.0,4.0,0.0,0.0,97.0,2.686342,7.2,58.0,en,2,2,1,1,1,0.0,0.0,1.304634638448663,4.07753744390572
Castle Freak,1995.0,8.0,0.0,0.0,95.0,2.26977,5.8,40.0,en,4,1,3,1,1,0.0,0.0,1.1847196460440048,3.713572066704308
Circle of Friends,1995.0,3.0,0.0,0.0,103.0,2.605521,6.5,30.0,en,3,4,1,1,0,0.0,0.0,1.2824662817926062,3.4339872044851463
Clerks,1994.0,9.0,27000.0,3151130.0,92.0,10.513367,7.4,769.0,en,1,2,1,1,1,10.203629181337648,14.963271993978692,2.4435087081920654,6.646390514847729
Don Juan DeMarco,1994.0,10.0,25000000.0,22200000.0,97.0,7.438934,6.3,184.0,en,3,2,1,1,1,17.034386422832473,16.915602891887552,2.1328559973133943,5.220355825078325
Disclosure,1994.0,12.0,55000000.0,214015089.0,123.0,11.812244,5.9,217.0,en,5,2,1,1,1,17.822843761378564,19.181557084518822,2.5504012762112094,5.384495062789089
Drop Zone,1994.0,12.0,45000000.0,0.0,101.0,9.579155,5.1,91.0,en,3,1,1,1,1,17.622173069956816,0.0,2.3588855555657027,4.5217885770490405
Death and the Maiden,1994.0,5.0,0.0,0.0,103.0,5.484156,7.1,92.0,en,3,7,1,1,1,0.0,0.0,1.8693616628067131,4.532599493153256
Dolores Claiborne,1995.0,3.0,0.0,0.0,132.0,5.8025,7.1,183.0,en,3,2,1,1,1,0.0,0.0,1.9172901916752643,5.214935757608986
